gene_name,TM_PC,TM_D14,TM_D21,TM_D28,TM_D42_D14P1
LTA4H,989,2580,4257,1642,1196
ATP8B1,713,3117,4960,2004,1703
RCN2,1617,2075,3397,1326,859
BCKDK,1955,2089,3737,1234,1190
TUBGCP3,924,2796,2992,960,856
WASHC4,550,2901,3940,1347,701
WDR83OS,699,2336,3493,1288,982
HTR1B,72,4082,5029,2386,1989
HS1BP3,1062,2216,4827,1750,1172
HEATR1,1088,2755,4047,1154,896
PDS5B,799,2427,3753,980,683
FUBP3,1239,1978,3261,1348,854
HACE1,850,3045,4016,1291,838
TYK2,569,3082,3562,1395,1243
UQCRFS1,1112,2996,3839,1241,1037
TBC1D20,1265,2140,3217,1230,954
F13A1,743,4077,7683,809,203
CYP20A1,943,2965,4058,1594,1180
C1H9orf64,992,2756,3541,1246,903
DAZAP1,1284,2150,3184,1059,863
SLC40A1,633,1949,5304,1275,671
ACAT2,795,2852,3343,923,2623
PHIP,1249,3100,2995,888,511
CTHRC1,5952,1931,3232,679,509
PWWP2B,1680,3041,4187,1532,1251
LOC111096746,1376,1620,3085,1055,823
STARD13,1160,2311,3358,1169,1136
PITPNM1,749,2744,3958,1600,1323
PSD3,892,2062,3478,649,686
NOP16,707,2107,2670,1141,632
DTX4,1462,1112,2561,704,521
MDFIC,1091,2448,3822,1379,796
ZSCAN22,699,2310,3321,1275,786
DOT1L,1522,3298,3940,1082,962
FADD,521,3400,4031,1383,968
ZNF326,1191,1809,3164,967,809
NSA2,1118,2801,3664,1108,827
RWDD1,1225,2411,2727,1124,908
ELP1,553,2908,3514,1163,794
GEMIN5,686,2376,3847,1240,782
NR2C2,842,3324,3830,1458,1144
HECTD3,1286,2499,2928,1135,820
S100A16,301,3068,4693,1771,1409
SLC35B1,1162,2887,3324,1315,893
NUDT3,1168,1809,2840,1346,914
LOC477325,1178,2351,2603,877,760
SEC61B,821,2918,3674,1218,886
ABCF2,505,2769,3326,1184,781
THOC5,985,3254,3217,1484,1089
ELMO1,1242,2369,3951,1185,1669
ACOX1,1072,2222,3052,1069,726
MRPL28,1272,2351,2810,1263,704
MIEF1,1059,2173,3890,1097,965
ZFAND2A,744,1773,3278,918,869
PYGO2,1900,2284,3171,1407,851
LDOC1,1334,2107,4226,1624,1287
CPSF7,551,1997,3228,1208,974
UQCRC2,1310,2053,3156,1155,945
ZNF277,824,2593,4324,1536,1097
RABGGTB,1357,1991,2335,826,754
UHRF1BP1,557,2447,3270,999,513
RPL7L1,845,2019,3633,1026,869
TMEM26,230,1954,3556,1405,921
BAG5,672,1965,2720,967,945
CDCA7L,1472,2536,3413,1097,636
PHLDA1,659,1670,3058,951,460
RGS3,1898,2591,3874,1250,1078
ARHGAP23,1569,2532,3262,1306,1064
PPP2R5D,988,2362,3903,1184,901
HGH1,1430,2323,3756,1404,1157
PYCR2,1347,2008,3635,1258,1093
LMBRD2,1158,2370,3419,990,745
SMG7,1143,2103,3137,1129,893
PRKCI,803,2875,4741,1586,1070
STX6,862,2618,3620,1305,896
SPECC1L,566,2959,4110,1626,1132
RNF146,1085,2061,3089,1274,823
PI4K2A,675,2316,4102,1373,1403
GNB1L,577,2105,3058,1360,979
CZIB,969,3177,4295,1831,1272
SESN2,136,3544,3954,2111,1600
SUCLG2,393,3208,4236,1405,955
MASP1,292,1973,3856,1227,1104
SMU1,634,2603,3431,1182,1077
USP48,943,2908,3124,1102,791
LOC610641,738,2293,3891,1426,1261
KIF23,981,2773,4392,483,322
SMPD1,853,2713,3030,1652,1260
SMAP2,1050,2746,3010,975,874
INPP5F,926,1515,2091,801,383
AAGAB,876,2266,3277,1380,904
SAMD9L,630,2452,3207,1243,722
MYH2,3954,4796,2662,1026,0
ISLR,669,1422,4349,2022,1679
NKTR,1015,2707,3909,1110,834
TOX4,755,2783,3404,1170,943
SPRED2,861,3394,3889,1408,1159
TMEM268,318,2972,3804,1706,1037
CNOT7,476,1730,2979,981,542
MORC2,1236,2896,3701,1627,1041
NUB1,347,2761,4144,1404,1036
TYMS,1127,1671,3400,676,452
ITGA6,2207,3880,3421,826,992
B3GNT2,627,2730,3790,1125,881
TBC1D23,1021,2225,2817,1013,777
COG7,1570,1984,2630,1139,924
CYLD,507,2844,3398,1363,674
SCYL2,820,3140,3630,1228,900
PACS1,799,2475,3256,1359,1209
EML3,840,2620,3862,1214,1277
POLG,1023,2145,2439,977,872
QPCT,165,1744,2433,1185,1005
AQR,901,3232,3506,1365,853
NUP62,820,2449,3808,1149,966
TMEM184C,1148,2847,4024,1537,1016
USP4,609,2845,3685,1149,960
HMGCR,517,3165,3989,795,2357
HERPUD2,729,2463,4559,1542,1337
RND3,1243,1106,2680,831,819
DHRS4,483,2415,3937,1634,1433
CACNB3,1113,2139,3572,1605,1316
DENND10,664,2097,4208,1372,946
MTMR6,1062,2492,3657,1089,815
EBNA1BP2,1183,2111,2906,928,738
LOC609990,628,2750,3791,1361,976
APPBP2,1170,2676,3129,1351,924
IER2,881,1664,3142,1079,788
RANGAP1,1126,2799,3614,847,537
RBM8A,1080,1830,2297,879,795
RAB11FIP2,839,2276,3261,1182,849
CPLANE1,1016,2302,3562,959,738
MAK16,600,2578,3700,1171,660
IP6K2,593,2612,4656,1541,1400
RBM22,660,2136,3090,1334,991
MAX,923,1897,3367,1248,776
IDH3B,1479,2441,2794,1118,959
CTDP1,962,2095,2477,1047,753
SSBP4,1378,1919,2993,1199,1091
GLT8D1,911,2324,3541,1094,801
RAP2C,1610,2621,2900,1187,873
TRIM4,1042,2392,3562,1256,1216
SART3,844,2157,2602,952,832
NEDD9,1391,1418,2643,1488,2093
SH2B3,1465,3471,4110,1005,674
RNF217,570,3501,3692,1131,919
UAP1,783,2533,3419,1210,1304
ANKRD33B,393,3776,4395,1909,1823
PRPF38B,1293,2023,2599,774,548
MYSM1,648,2390,2216,677,456
AP3S1,422,2099,2607,1416,947
IPO8,339,3117,2989,967,569
PLK1,1061,2785,4524,571,356
KLF16,1349,2891,3275,1451,1018
ARL17A,964,2671,4429,1434,1362
RUVBL1,960,2956,3194,1054,657
XPO7,944,2560,3936,1134,953
PROSER1,592,3162,3003,971,833
OSBPL9,846,2631,3901,1124,1032
TRAK1,1167,3300,3782,1268,1222
ATG5,835,2171,3382,1204,709
NPR2,881,2607,3260,1622,1146
MAU2,694,2963,3451,1159,1129
RAB2B,1302,2378,3513,1125,1005
LANCL1,800,2702,4128,1442,897
RINT1,400,2439,3112,913,652
SYNE3,656,2769,4986,1220,1121
PPP4R2,507,2640,3401,1106,647
NDUFB8,838,2509,2909,1180,1010
SLC12A7,1556,661,1352,502,388
TMEM39A,1273,2166,2866,1184,853
RAB12,852,2401,3875,1256,1137
SPOP,997,2131,3670,1366,817
CDC27,1100,2119,3345,996,604
PKD2,970,2470,4197,1466,870
ERRFI1,880,1890,2380,795,637
LUC7L3,643,2075,3233,981,698
PPP3CB,568,2769,3399,1358,865
ABCA2,1166,2905,3484,1255,931
MANSC1,907,2449,3230,998,749
SMURF2,715,2966,4138,1350,882
PPP2R5A,2495,1959,3357,841,623
CHFR,1031,2963,3578,1485,870
PDCD11,1038,2677,3264,1102,861
EIF4E,974,2675,3388,1124,789
RABIF,1163,1735,3258,996,834
EML4,1167,1835,1496,626,346
CCDC102A,629,3330,4140,1521,1114
MGRN1,1230,2076,3298,1172,992
C5H17orf49,1190,2121,4479,1477,1488
C7H1orf21,1717,2251,2867,917,910
ISCU,751,2400,3571,1448,1163
POGLUT1,1473,2058,2797,1206,811
UBAP2,737,2640,3269,1241,826
CLASP1,984,3015,2636,1009,739
BMP6,2377,1256,2358,1008,633
RRAGC,737,2546,3724,1394,1135
TMEM65,1486,2740,3431,1223,945
HPRT1,903,2084,3383,850,599
RHOBTB1,800,2586,4984,1511,924
SH2B1,1281,1684,3822,1119,908
RBX1,894,1946,3404,1271,999
NAB2,603,2377,4667,1455,826
NPEPL1,973,1829,3160,1331,1056
PHF19,850,2831,3552,988,651
ERF,1914,2492,2899,983,969
DMXL1,535,2943,2585,927,578
ARFGEF2,1164,2038,2383,702,687
VAMP8,825,2304,3592,1054,1042
TTC14,228,1689,3057,682,547
HARS1,858,2617,3133,1047,783
KIF16B,1789,1619,2630,1005,697
PPP3R1,893,2184,3291,1109,932
ERBB2,945,1977,2951,1359,859
ZNF469,1225,3120,4471,1208,1477
SIK2,534,2338,3018,1309,1056
ARHGEF17,1221,2793,3177,1797,970
ARHGAP1,675,3228,3165,1629,850
SYAP1,1142,2692,3115,1271,1087
RAE1,1007,1822,2687,907,799
POLR2C,1341,2392,3778,1203,1006
GASK1B,810,3348,4990,1525,1006
WBP1,826,1831,3810,1546,1207
TBC1D17,814,2686,3103,1300,1476
MFSD14A,942,2218,2955,1264,1130
ELMOD3,1560,1923,2768,1167,794
PSEN1,593,1957,3790,1633,1087
DTYMK,1004,3010,4346,1331,933
ERN1,310,2667,3884,1701,1208
CMTR1,829,1717,2689,1199,873
CCND3,989,2272,3411,972,676
RNF41,852,1762,3471,1305,725
NOB1,806,1420,2059,750,654
LOC100856786,483,1855,4143,1198,983
JCAD,1608,3384,3605,1356,1595
SYMPK,1219,2617,3527,1058,873
SLC25A37,680,2037,3870,1167,926
DNAJC11,663,2045,2908,823,696
GLT8D2,948,2885,4317,1732,1206
GALNS,1326,2144,4302,1014,803
PGLS,1153,2017,4275,1428,1201
WDR43,927,2109,3304,948,718
SLC2A3,1244,919,1468,375,201
PES1,1118,3045,3390,1391,1009
PURA,674,2658,2931,1017,711
ALDH2,774,2068,3670,1150,552
RNF157,838,2736,4024,1166,715
VEGFB,663,2422,3688,1395,1079
TEF,685,2428,3223,1752,1241
ATF1,621,1955,3554,942,709
EGFLAM,572,2123,4972,2197,3471
RUSC1,1010,2053,3731,1288,1564
EIF2A,893,2198,3763,1366,1071
EPB41L3,2410,901,2213,610,235
SIL1,512,1756,2790,1399,744
RABGAP1,1025,2128,3633,1224,962
RBBP6,1355,2419,2815,840,604
USP33,1003,1614,2281,801,572
CLOCK,1046,2677,3462,1038,619
SSB,805,2299,2626,931,635
CLIP3,1841,2471,3533,1568,1540
GET3,530,1916,3364,1056,780
SLC9A3R2,2246,1682,2393,1243,1047
PSMD14,1133,2255,2885,870,593
XPO5,1126,2499,2824,1274,855
OSBPL2,964,2159,3443,1068,920
ACAD11,618,2927,3793,1606,1035
IL4R,654,1675,2719,819,556
CDC42EP4,1322,2401,2909,1350,875
MYG1,893,2272,4042,999,1035
SCAND1,1279,2172,2758,1283,1002
VPS51,541,2664,4431,1528,1167
SSH3,387,1887,4968,1578,1343
AXIN1,1021,1823,3927,1103,950
TPST1,535,1899,4456,1700,1094
STRIP1,1230,1656,3648,986,848
CRTC3,539,2303,2961,1172,940
KMT2B,1419,2611,4018,1017,953
PI16,351,3220,1719,3360,2090
PELI1,773,2718,3327,1098,676
DMWD,1486,2123,3716,1260,1094
PTPRG,781,2883,4582,1859,1316
TRAK2,487,2558,4147,1061,594
RHOB,1055,2167,3023,1525,1894
ANKRD12,1010,2976,2886,892,842
GPCPD1,1285,2005,2730,996,1238
CRYBG3,892,3034,3208,989,666
EXOC2,798,2210,2957,1013,835
PLA2R1,552,3531,5174,1952,1144
IRGQ,1646,2501,3417,1065,931
NUP88,893,1957,2855,940,899
SLTM,929,2553,3241,882,711
ATP5MJ,786,1842,2484,934,662
YTHDF2,973,2115,3584,1297,992
PHF20,777,2178,3016,1136,747
PRPSAP1,929,2858,3759,1169,1010
RNF181,889,1978,2917,1530,1398
ZNF638,633,2249,3276,1103,643
SPCS3,772,2568,3305,1053,566
ZZEF1,931,2114,3977,1089,925
PDK2,689,2324,4824,1365,1447
CCHCR1,802,2077,3467,989,755
ZFYVE21,565,2322,4454,1267,1204
RMND5A,1123,2021,2489,1024,654
GCC2,823,1808,2370,848,466
RC3H1,691,2789,4073,1270,593
ATXN7L3,1000,2450,3418,1141,857
DNAJC14,1508,2132,2880,1116,1012
AGO3,944,2621,2866,1035,707
TMEM87B,707,1536,2778,871,531
PHTF1,419,3028,3711,1350,911
RBM5,633,2823,3794,1443,918
RANBP3,1276,2723,3515,1400,1151
LOC609486,710,2199,3173,1005,791
AKIRIN1,668,2021,2263,807,519
CLPX,654,2101,3267,882,693
GYS1,896,2554,2969,1313,776
IDH3G,785,2404,3545,1119,774
MAP3K7,705,2772,2520,1320,796
SAR1B,591,2653,2656,1256,996
AGAP3,698,2042,3299,1074,1109
ANAPC11,1248,2520,2708,1297,822
DRG2,538,1921,2101,881,718
PPP1R10,1801,2449,3207,987,993
CAT,695,2023,4138,998,704
DDX39A,802,1900,2016,576,508
IGSF3,2304,1104,2095,843,589
SIPA1L3,699,2404,4918,1135,999
PLPP1,970,1824,3670,1347,1192
EFEMP1,445,1935,2944,2806,381
CHST14,1647,2268,3497,1430,1023
PRKX,1690,2762,4582,1264,880
VPS25,1035,2483,3999,1176,909
DCAF12,626,2478,2910,1013,688
SETD1A,1308,2113,2536,781,842
CEBPD,207,915,3352,1655,1289
JMJD1C,1210,2931,3345,1119,819
RAB30,519,2284,4432,1984,1136
ATP5J2,1423,1642,2544,910,833
MET,164,5428,4652,1242,846
GOLT1B,521,2142,2820,1387,853
CEP131,539,2520,3496,1248,1204
HBP1,668,2027,3735,1418,1420
IWS1,724,2214,2380,1056,747
PIGQ,1956,2302,3575,993,1291
POU6F1,543,2379,2826,1206,824
CTC1,843,1972,2598,962,774
PDIA5,2271,1720,2441,1073,773
MFSD10,852,2120,3743,1329,912
KIAA1217,2211,2612,3074,932,471
STIM1,733,2176,3944,1476,695
SNRPE,1118,2127,2573,822,763
LOC100682542,954,1379,2547,1363,679
BRF1,1180,1759,3340,982,876
LOC484695,1996,2604,3971,1283,1251
PHF5A,1005,1613,3016,887,806
RNF6,571,2478,3553,932,863
AGRN,3625,2184,2056,938,554
KIF26B,181,2030,2056,1448,818
KXD1,871,1480,3498,1152,932
TENT2,542,2704,4140,1541,1034
ZRANB1,761,1522,2900,860,716
PPID,896,2169,3430,1125,786
TK1,1093,3332,4572,881,415
ABCD3,1362,1806,3192,1034,769
ZBTB24,1044,1790,2280,764,651
ANKRD46,870,1705,3476,1132,1150
YES1,724,1803,1949,699,393
NDC1,950,2929,3838,1243,777
EMC7,984,1944,3272,1176,821
CD2AP,683,2672,1692,832,590
DUSP7,1042,2570,3182,1244,782
JADE2,669,1162,2850,916,841
FAF1,781,2719,3169,1036,768
VPS26A,686,2378,3955,1428,866
RAD17,613,1835,2390,790,529
TNRC6A,927,2345,3334,996,724
GPX7,2642,1300,2283,1373,673
CA5B,650,3082,4802,1220,1479
SDHC,1225,2071,3626,1115,969
TMTC1,183,2781,3567,2032,1218
PRKAA1,1028,2257,3409,1297,1006
ERAP1,586,2523,3539,1341,811
ARL8A,793,2037,3760,1054,891
CNOT10,789,2496,4058,1351,949
VPS11,954,2289,3886,1096,1121
TSHZ2,760,2437,2688,1152,776
ZNF517,1608,1550,2535,1259,1138
SUDS3,795,1283,3478,790,553
PAXX,706,1946,4210,1420,999
L3MBTL2,770,2381,3286,1221,962
GLRX,795,2381,3608,854,331
RPTOR,839,2428,3063,1099,1025
IFI30,1134,2363,3863,1186,655
CEMIP,325,1765,5851,1038,761
ARHGEF19,1523,1847,3605,1310,1221
YTHDC1,1153,2404,3017,1045,808
ZNF608,911,1827,3114,1187,1118
CCNB1,599,1822,1997,298,260
TES,1024,2241,3857,1072,736
JADE1,517,2366,3013,1702,1326
CPM,327,2327,4569,425,141
TMEM129,578,2122,3063,1256,869
PGAP6,799,1902,3978,1176,922
KCTD5,1333,1773,3352,903,741
SYNJ2,1052,3068,3958,1333,731
PAFAH1B3,1398,1954,3910,1510,1171
WWP1,836,2764,3385,974,763
TCIRG1,536,2819,3683,987,787
FAM162A,1289,1345,1090,562,438
SRF,1177,1903,3182,996,899
MEX3D,1265,2298,3341,1266,1198
RTCA,1098,2071,2610,1038,651
TMED5,556,2142,2983,788,406
SF3B4,791,2111,3188,809,797
ARGLU1,662,1630,2556,901,643
SNX4,1085,1836,2455,1033,694
NHP2,467,2529,2916,1201,813
FAM189B,1105,2446,3590,1348,1212
MAP4K5,955,2064,2569,1125,904
STX5,645,2199,2739,1164,1044
USP3,848,2046,3228,1124,884
TRAPPC1,1050,2187,3187,809,680
SMARCD1,1075,1854,2561,864,732
GIT1,909,2773,3203,1307,822
DAPK1,240,2291,4200,1578,965
SLC35F6,914,2267,3521,959,765
TRIP6,1273,2060,2986,1150,1064
CSNK1E,1101,1963,3035,1186,1115
PDLIM1,1982,2549,2915,1292,1211
MSMO1,633,1847,3660,659,2187
RAD50,382,2625,3117,1125,569
SCN4B,33,2619,5879,1639,1508
NVL,718,2133,3119,1062,761
NBEAL1,666,3196,4456,986,776
ACSL1,808,2573,3460,877,634
NEDD4L,399,2637,2980,1471,860
NOL9,479,1510,1841,698,399
LAMA3,1544,3041,4261,1520,622
MFSD1,573,2508,3094,1269,882
ABCC5,908,1142,2722,680,722
SYNE2,954,4105,4236,837,407
TMEM9B,410,2171,3713,1460,985
ZMAT2,938,1933,3183,872,665
PQBP1,1191,1479,3252,1332,1039
PCOLCE2,1557,1684,2819,1173,1012
TNIK,1603,2688,3195,1106,476
WDR7,475,3094,3426,899,466
CLCC1,1151,2273,2405,1144,861
MGA,1104,2327,4245,1088,655
TP53I11,1769,659,345,154,98
B4GALT7,384,2056,3330,1332,967
MPHOSPH9,510,1351,1686,653,415
TSPAN7,1501,1904,3129,819,624
VIT,310,2478,5849,4564,722
NUTF2,736,2222,3178,1263,876
NOP14,412,2884,2755,1224,706
TXNDC11,1286,2292,2657,1090,989
IRF3,811,1932,3260,1757,1318
BMS1,841,1950,2732,1065,672
DNTTIP2,902,2207,2407,846,669
TBL3,1078,2510,1955,877,882
PPM1B,600,2221,2933,976,625
COG6,705,2045,3294,1245,797
GOLGA7,642,2215,4115,1243,986
TMEM59L,505,1409,3038,1426,1168
CORO2B,878,3067,3602,1854,1381
SLC39A11,723,1672,2725,1288,762
UCK2,506,3227,4379,1397,1208
PUS7,553,2069,2127,684,483
MFSD12,442,2592,4554,1158,762
ACAD9,1537,1781,3379,868,793
MTREX,797,2656,3491,1261,724
LMNB1,647,2060,2392,603,291
RBPJ,490,2024,3749,1136,1003
PPP1R37,1191,2014,4221,1243,996
VAC14,769,2019,3351,1171,1000
LACTB2,472,1763,3859,1316,938
FNTA,580,2289,4098,1252,1053
MKRN1,418,1652,3615,1132,1060
ATG2B,745,2373,3395,932,615
VPS72,710,1342,2874,1151,894
TENT4B,558,2295,4187,1416,868
AGPAT1,833,2358,3121,1397,960
SMPD4,1273,1996,3531,1094,993
MAN2A2,732,2797,2640,1023,726
KDM1A,918,2252,3551,1164,721
UBR1,725,2929,3208,1779,903
SLC2A10,1226,1821,2330,1245,1050
DLGAP5,954,2815,4009,394,391
GGA2,774,2151,4042,887,373
CXXC1,1342,1933,3651,908,831
NDUFA11,916,1826,3079,1063,1011
MRPS18B,854,1613,2004,1133,905
DNAJC8,1236,1872,3251,1170,887
PCGF5,364,2675,3809,1227,1083
CLN5,984,2155,3274,1088,806
UBA3,523,2310,2990,1465,968
CHMP1B,1093,1945,2663,1266,1107
GARRE1,1851,2387,3029,1256,1282
USF1,1097,2288,3116,1411,992
HACD3,566,1699,2945,816,571
VPS41,420,2538,2780,1088,801
EXTL3,1472,2413,3144,1297,875
WIPI2,955,2118,3222,945,1138
RNF20,485,2532,3162,939,836
DAP3,699,2502,3364,1179,892
PARP3,354,2586,4329,1753,1478
APBB1,675,2176,4124,1608,1419
RAB13,1350,2262,2904,1185,957
SPON1,3283,2269,2458,1119,593
RBM28,510,1426,1602,591,350
ZW10,630,1931,2597,699,568
UBXN2B,598,2984,3331,1144,871
AFG3L2,1066,2520,2420,959,708
MARK2,523,1979,3067,1072,779
SYT11,599,2645,4607,1465,1469
KLHDC10,1318,1731,2548,1151,634
MAT2B,1153,1541,3408,885,495
UFM1,765,2208,2617,912,667
PSME1,985,2214,3162,1161,958
LOC610164,433,1615,2598,1061,762
PSMG1,568,2280,3782,1229,867
VAMP7,612,2360,2945,1117,990
CCDC115,1050,2652,3878,1311,880
ZC3H13,470,2303,2184,848,654
STAG1,803,2608,3613,1308,851
TRIM8,680,2390,3282,1127,718
IPO13,744,2179,3583,1370,811
GRK2,803,2391,3639,853,825
SMURF1,849,2156,3386,1131,1196
PPP1R2,771,1520,2872,909,712
SYDE1,780,2122,3072,1215,907
NRBP2,1472,2693,3480,1299,1104
CDK5RAP3,842,1949,3441,1288,1191
PCNT,956,2783,2584,765,661
FBXO22,805,1741,2556,912,642
MID1IP1,513,2358,3580,1263,1018
UBAC2,858,1699,3601,1217,918
GOSR2,709,2045,2648,1243,766
CENPC,1154,2185,2924,984,641
KAT14,1036,1961,2600,1248,989
BLOC1S5,849,1710,2555,906,775
BAZ1A,524,2844,2553,784,602
EHBP1,1144,1869,2616,967,842
PPP1R26,814,1437,2875,1209,884
DHX36,1306,1959,2929,1043,662
MEF2C,2316,4234,1303,605,51
ATG4B,997,2598,3104,1158,1090
TMEM63B,865,1729,3166,839,926
OSTC,1203,1749,2270,980,830
KRAS,707,2106,2682,967,717
FKBP3,730,1499,2819,882,567
SUCLA2,384,2348,2823,1051,806
REXO1,1217,2801,3585,851,1003
SAV1,530,2496,2869,1063,711
SETDB2,388,2254,2646,920,678
LEMD2,1013,1503,3059,1123,833
C1QA,251,2506,4050,656,169
MYO9A,637,3119,3070,1023,783
CPLX2,288,652,473,235,129
VWA1,5070,1106,1143,675,555
TERF2IP,1328,1325,2830,980,853
MIDN,2126,1880,2525,1121,632
AGPAT2,831,2613,4426,1684,1182
SC5D,863,1925,3749,1129,2103
C2CD5,586,2213,3711,875,473
STAC,417,2899,3055,860,749
TAF1,940,2296,2394,997,639
NDNF,11979,0,159,72,207
URI1,1291,2142,3302,1085,662
FRS2,1215,2260,2951,974,790
YIPF4,1085,1693,3043,1313,1029
EI24,922,2505,3808,1212,1053
ZNF516,1589,2994,2839,967,623
ZFYVE27,602,2161,3824,1132,705
EMC4,956,1540,3812,1291,1066
SMARCE1,1256,2267,2945,906,780
RARS1,847,2512,3388,1075,763
COG4,699,2058,3215,1089,852
PSMA2,671,2115,2766,928,828
CASP14,32,3510,5207,2008,1354
MEPCE,997,1790,3371,931,859
SGSH,882,1215,3533,1293,1024
TPP2,690,2406,2781,929,690
VASH1,2332,2239,3602,692,453
ZFYVE1,658,1992,3334,1054,1104
SLC35C2,1351,1540,3047,1195,743
DCLK1,294,3625,3336,1593,775
LOC479708,737,1914,3318,1006,737
UBALD2,1167,2089,3723,692,827
MAN2C1,973,2126,3187,920,976
AVL9,439,2003,2217,492,418
COPS4,884,2222,3281,1362,960
UBQLN2,692,2232,2995,1149,836
PLEKHG5,1338,1654,2594,1281,1283
ZMYND8,797,2048,2120,610,360
DAB2IP,1711,2427,3313,1255,935
PRKDC,643,3623,3446,879,415
TOMM6,985,1718,2667,860,694
POM121C,1092,1772,2643,726,611
PPP2R2A,788,2275,3227,1092,912
ZNF445,584,1702,3042,1196,617
PBRM1,533,2900,2500,1072,623
KCMF1,662,1594,3429,1074,867
MARCHF7,809,2059,3386,972,797
FASTK,683,2557,3632,1381,1110
BMPR1A,712,1752,2617,1036,661
PCSK5,298,2736,4019,1731,950
TAB1,856,2111,3915,1057,1032
ABLIM3,1172,5456,2220,973,35
ACTA2,1149,2811,2028,1173,2000
MRPL53,896,1892,2637,890,850
CEP164,873,2892,3613,1256,773
SDAD1,1259,2059,2899,908,635
SNAI2,595,2331,2950,905,405
STK35,599,1776,2244,997,607
FAM111A,349,2798,3627,998,597
FHOD1,1080,2474,3725,1136,781
HS2ST1,1786,1392,2310,682,405
FAM174C,1060,2118,3605,1233,813
SART1,610,2408,2768,1133,845
SHKBP1,1218,2144,3440,1168,923
ZFP90,376,1634,3319,1347,1100
NSF,1003,2321,2785,943,807
SMAD9,983,2150,3397,994,598
PCBP4,610,2853,3158,1328,883
PDE4B,471,1037,1010,427,292
UCHL5,669,2626,3297,1315,638
NDUFA9,799,2215,3223,907,733
FIBIN,4329,1734,2447,1061,1244
PLVAP,9493,166,0,0,0
LOC100685822,977,2324,3490,1064,972
NCOA2,633,2433,3339,1145,709
LUC7L2,612,1891,2907,892,595
AP2S1,852,2034,3059,963,998
GLIS3,296,2636,3563,954,763
ZFPL1,490,1798,3101,1341,1171
NDUFB10,1060,2057,2335,936,744
XYLT1,1450,2063,2815,1190,1103
ATP5IF1,697,2334,3317,1135,851
ELAC2,544,1214,1878,472,499
TRIP10,776,2464,3886,1328,1210
TADA3,909,2309,2936,1293,1007
SOCS6,602,2235,2645,968,739
ETV1,600,2367,4311,1308,870
HEBP1,359,1540,3108,1372,830
CTPS1,947,2424,2087,676,478
TIPARP,379,1902,3473,780,820
DBI,624,1524,2715,694,524
ARMH4,130,3103,4763,1905,1162
PLAU,510,3289,4028,1005,786
STRN3,642,2327,3109,1194,847
PRMT5,642,2358,2936,900,766
DHCR7,388,1236,2663,704,2210
TNNI1,521,5306,2596,1288,22
SIRT5,662,1825,3398,1620,1161
TMEM181,786,1574,2554,841,628
SLC25A22,445,2237,3159,923,697
NENF,1364,1355,3090,1164,885
MTMR3,622,2576,4190,1617,1220
DCTN3,549,2230,2775,1180,1051
TUBGCP6,896,2310,3571,836,873
LOC100688796,1152,1781,2741,804,787
VPS37B,362,1911,3743,1373,916
HINFP,1061,1686,2201,958,695
DDX20,758,1838,2309,735,501
CSNK1G3,611,2145,2447,987,655
UBE2N,825,1892,2954,919,745
CLCN6,948,2176,3751,1279,1133
OST4,1065,1977,3100,1217,875
PCED1A,913,1454,2611,1238,884
ALMS1,628,1897,2949,868,406
NCS1,866,2145,3461,1248,1022
POLR2M,633,2186,3299,1193,841
NEDD4,734,2545,4498,1210,807
SMIM7,732,1911,2979,1046,737
HECW2,903,1534,3092,1465,706
ISG20L2,1011,1709,3081,1153,819
OSBPL6,428,2310,3707,1378,840
MRTFB,1502,2124,2912,1014,650
TMBIM4,1031,1479,3076,1087,922
GGNBP2,648,2005,3652,975,729
SZT2,796,2845,2779,1085,811
TRAPPC3,1013,1935,2727,1064,778
PSMD9,673,1535,2865,1153,769
SNTA1,1298,2199,3768,1560,936
CCDC86,413,1831,2580,790,680
IDUA,382,2153,3770,1558,836
RBFA,768,1507,2810,977,826
C18H11orf24,539,2694,3080,1526,1220
IFIT5,965,2053,3284,1058,737
STX7,774,2509,3365,864,1003
LOC102157078,404,1815,3161,971,857
DRG1,698,2647,3603,1267,897
CDK12,773,2155,2878,876,611
MCUR1,851,2541,2892,1200,973
SUGP2,140,1347,2519,696,480
TSPAN18,1384,1987,2569,859,1097
ITGA9,1291,3218,3199,969,674
LMBRD1,583,2061,3015,1041,791
TCOF1,930,1554,2401,592,391
PRPF31,887,1798,2659,685,615
NSMAF,551,3085,3341,1107,903
INPP1,872,2161,3049,1130,787
PRICKLE3,1086,2386,3708,1159,855
GOLGA5,921,1832,2555,1118,1010
TCN2,1402,1963,3258,1243,887
NEDD8,1000,1531,2584,933,851
CTTNBP2,1433,3035,4159,1158,895
RETREG1,1126,2248,3164,1275,1106
PFKM,254,1660,2258,1454,746
TMEM104,657,2816,2959,1219,823
HADH,954,1662,2769,1051,753
IRS1,1113,1554,2398,959,855
WDR36,514,2784,2678,1060,748
WDR70,1114,1996,3087,933,854
USF3,1021,2010,2126,658,477
SECISBP2,595,996,2401,813,603
TEX2,801,2936,3271,1009,646
THOC2,628,2303,2762,949,593
FOXP1,485,3653,3634,1353,1186
LRRC40,1156,1835,2670,877,751
PID1,971,1053,3871,1382,1230
SLBP,524,1797,3137,795,350
SUZ12,748,1677,2445,613,407
GPSM1,1558,1752,3544,814,884
MKRN2,889,1874,2865,1185,912
RIC8A,525,1911,3712,1136,866
