gene_name,TM_PC,TM_D14,TM_D21,TM_D28,TM_D42_D14P1
RRBP1,14846,27583,31343,12123,8523
BSG,7367,22888,45313,20108,13854
SRRM2,14304,24116,33787,10359,8690
AP2M1,16610,18597,28621,10064,9300
SMPDL3A,409,4368,6719,1083,697
ANXA5,9052,30798,52438,17584,12533
PTMA,14542,23815,32584,10102,6750
CCDC80,12231,18202,35048,18093,14820
DYNC1H1,9281,38559,42896,12513,9212
CSPG4,10384,41204,41017,16582,17333
LAMP1,10252,21116,40232,14789,10395
CD63,13408,22850,38282,13059,11191
CSDE1,8094,23062,33486,11905,7528
HNRNPK,10991,23626,32901,11385,9124
RPS9,7340,19995,32953,14376,9224
RPS11,9583,19537,35044,14409,9334
EZR,9220,26241,38597,11253,13300
RPL6,10219,23617,41413,17560,11164
MYO1D,4097,37544,54880,19110,18408
RBP4,6079,23213,34345,11012,10676
ACTN4,15709,23382,34690,12182,10364
COL2A1,145834,55,1817,75,120
RPL18A,12108,16065,32407,12684,9119
GPX1,3715,29990,48294,16348,8521
TAGLN2,12453,27301,37581,12260,10453
PRRX1,7894,22137,29532,10041,9042
PPIA,7018,25477,36445,10355,10785
RPL12,7480,20831,33750,15278,9095
RPL19,9859,19409,32384,14361,9745
MXRA8,5848,25661,51357,17219,10832
ATF4,5627,20924,35696,13502,10992
LOC106557449,10,0,0,0,2
IGFBP4,2917,15770,21193,13073,7078
CDKN1A,1058,18680,41425,20920,14087
ITGB5,14978,15873,30318,10911,10025
GLUD1,6310,23164,38708,10845,11488
FGFR1,10197,22754,29290,13500,9318
NPM1,5774,14912,24047,8681,6497
ANTXR1,12223,15850,22045,9901,4525
COPA,9890,23881,32614,12333,9081
PCOLCE,20879,15878,26874,15137,5744
LDHA,8314,19467,21375,9217,5005
rna-NC_002008_4_70__1023,6508,5779,57103,16167,29378
RPS7,7490,17337,29748,13030,7655
PLS3,10809,24282,37259,13366,13018
CALM1,10790,22055,31998,10506,7474
CFL1,8573,22152,31652,9131,7589
PFN1,9559,18021,26070,8033,7125
CAVIN1,7677,24709,43163,15379,15221
TMSB10,10715,19173,28828,10516,7883
SHC1,13599,20852,30317,14063,8956
RPL7A,8130,18638,33462,13214,10299
RPS15,9908,17440,34748,14034,8984
LAMP2,5436,19810,38081,15755,8465
GRN,9414,18230,34197,10887,6538
TMEM43,8238,25183,38010,13494,11219
NRP2,6680,24881,39151,13372,11191
ASPN,57573,13300,20712,9137,8967
RPL18,8719,15918,27082,11372,7810
TGFBI,18117,9332,12428,3273,1794
RPL14,10013,16314,26077,10935,7781
NUCKS1,5117,18024,27225,7767,4331
TIMP1,6057,15920,20778,9015,7840
EIF4B,5839,20056,33927,14471,9818
QSOX1,4317,19011,37404,18658,16952
UBB,7714,17505,29329,11590,8869
APLP2,7642,18137,29870,10704,7751
SQSTM1,3141,21013,40159,12738,12059
RPL10A,6162,17784,30535,12848,8148
EIF1,6147,20357,31907,11506,9667
ATP5F1B,7838,22779,30339,9841,7922
PDIA4,12427,19923,28725,11239,6482
LOC119873568,8667,14803,22629,10816,8547
CD164,9597,16281,29398,9917,6936
ANGPTL2,36224,13240,18630,6456,3823
DDX5,7563,19943,25855,8597,8300
C1QTNF3,7065,12697,15789,7992,11993
RPS10,7683,12850,24804,10083,6881
EIF4A1,9860,21564,30815,9125,8512
COMP,6176,8668,26630,12677,31990
RPL17,6949,16914,26608,11039,6651
EIF5,5715,17883,21931,7555,5212
RPS20,4076,18210,30977,12832,10048
SCARA3,4838,28576,39946,12955,7215
HNRNPA2B1,7293,20527,25988,7833,5045
EHD2,7358,22698,34071,14211,13196
COL16A1,26188,18617,25777,10299,6318
RPL32,9373,14134,22939,11247,6681
UBA52,8170,13578,25407,10525,6832
RPS18,8157,14151,22513,9933,6956
FAT1,3996,28761,35872,11508,6506
COL14A1,2915,21460,36695,20583,5312
PCBP2,10562,14519,25634,8369,7602
LOC106557476,3904,23293,37733,10310,8631
PRRC2A,6068,19270,24009,8175,6459
DPT,8777,24277,30322,9437,6626
AKAP13,3996,25984,36170,12210,9104
ACTN1,6888,22107,26989,9989,9623
RPN2,12029,15467,25988,9446,6366
RAB31,5135,21362,35566,13252,7804
TPM1,5902,17755,28042,12201,13987
PDIA6,15412,16999,25752,9688,5776
PLOD1,23277,14372,22903,9653,6884
ADAM12,4343,27620,35636,11646,9998
LAMA2,532,24996,43127,20558,14492
TLN1,4903,24941,33170,10135,7507
PKM,9741,16275,22496,7407,6389
MRC2,16314,17210,23451,10648,5253
FASN,6298,17171,23629,7363,10197
LOC479795,7844,19067,26838,10441,8413
NFIC,9028,21739,27010,11368,7387
FOSL2,5490,16636,23229,8140,5958
TXNIP,1087,12878,34122,17039,6885
RTN4,4220,23358,28395,11454,7825
CDH13,5014,19086,37048,17321,10400
CAPG,3630,18628,33653,9385,9144
DPYSL2,7025,17891,28723,9588,9969
LOC489992,20917,10840,20439,7263,6723
RPS15A,9147,11433,22759,9234,5658
GPI,16733,11749,17247,7481,5654
S100A6,4212,17173,30216,12019,12896
CLIP2,5241,20080,30476,11056,9927
RPS16,12023,13129,24445,10155,7294
ND6,12015,20368,16391,4136,3728
DDX17,5587,16900,26448,9420,6995
SLIT3,8934,14545,36846,16709,12694
RPL9,3483,14808,20309,10772,7185
KDELR2,13852,13648,19437,7647,5943
ARPC1B,6472,18381,34921,10267,9839
TSC22D1,3206,15163,19190,7938,6645
NCL,7092,19531,23520,7774,5352
MAFB,5525,21475,34611,6121,1996
P4HA1,15027,9495,14601,7548,3624
SH3PXD2B,5745,15597,20031,5185,3216
RPS23,7131,16565,26898,12488,7605
FSCN1,20400,13543,22710,6846,5563
CLTC,7754,22345,26105,8225,5294
HNRNPU,6876,18636,19437,6787,5707
ACTR2,7152,16738,23762,7268,4660
TMBIM6,5221,15755,24866,10029,7879
GREM1,267,22897,32772,15066,12164
SPTAN1,3305,22411,29501,11685,8487
RPS27A,6432,12569,19814,8530,5792
WWTR1,7287,20373,22596,9933,8479
RPN1,12210,12262,24199,8705,6274
RPS25,7432,13297,18290,8677,5324
NQO1,2090,17356,29737,9524,10606
SERPINE2,3266,11677,17927,7592,5295
NIBAN2,3734,22350,32247,10363,9339
PIR,347,21317,37606,11458,11808
MSN,8367,19643,23015,8228,6391
MYO1C,5479,21383,29139,10760,9109
SH3PXD2A,16378,16090,16522,5248,3331
TIMP2,7566,16134,30204,8696,9080
CSNK1A1,4815,15608,21351,7896,5524
DST,2901,32988,30345,9409,6009
FARP1,7317,13479,24039,8521,4908
ROBO1,14406,14472,22923,9902,6867
CD81,5205,14902,24384,13444,8310
FHL1,3338,18359,28177,16620,8955
GAS6,2128,9927,29044,17299,9850
MAP4,4126,19085,27572,10248,8369
NAV1,5335,23478,22575,7559,6021
ADAMTS2,3556,14425,26746,14741,8356
SEPTIN9,7806,17704,22524,8071,5935
NUCB1,10240,11137,18209,8117,5914
PTGIS,3336,21690,33482,12012,9613
PAM,11519,13150,23809,10248,9835
NFIX,2609,13189,17034,8975,6604
AKT1,7140,16232,23441,8363,6626
PRDX1,3395,13421,24349,7056,5561
ATP1A1,5031,15599,19658,6146,5752
MACF1,4744,25208,24886,7403,4808
NFE2L1,3977,17496,24664,10725,8153
P4HA2,7428,14331,18353,7131,5283
COLGALT1,20868,14066,20109,6441,5016
CTTN,2824,15478,24634,8839,6672
IL6ST,4206,15111,23227,10532,5136
CCDC88A,3899,22493,27897,7686,4758
IL13RA1,4356,14860,23250,8484,4710
VCP,5344,16365,21646,7431,5445
XPOT,4619,15325,18555,7434,4763
DSTN,9629,9608,17626,7833,6695
RPS12,7195,11687,20452,8733,6754
PDGFRB,3711,21567,29062,10600,7999
RPL31,6321,11284,19725,8275,5704
ARL6IP5,1341,18708,28281,9997,7661
PLXNB2,5453,12835,24485,9990,6761
RPS21,9048,8112,16346,6372,4775
PLOD3,16511,11441,19070,7522,6268
TGFBR2,2934,15480,24034,12182,8852
WWP2,7469,5131,5786,3227,2290
SERPINF1,1188,14511,29900,13552,7653
SERBP1,4732,12686,15987,5251,3860
GNAI2,7079,17149,31500,10084,8386
BRD2,4910,14844,19078,7614,5956
S100A4,4000,16198,30168,9967,13552
TMED2,3901,11295,15802,5780,4301
IQGAP1,3076,19073,26567,7962,7210
MAP4K4,4733,17277,22205,7154,4865
LOX,2573,16358,24889,14711,9579
DDOST,14095,11772,22341,7871,6348
ND4L,14481,17421,16128,3683,2085
DDIT4,3728,8189,11863,6175,2966
DDX3X,6913,15660,18877,6637,5015
LOC102155886,29,653,1517,625,93
CAPNS1,7282,15224,23313,8521,8275
LOC478038,10060,14182,21306,7684,5352
HMGB1,7668,13373,19798,5723,4453
WARS1,2562,14559,25282,9525,7669
EIF3A,4774,17595,19973,6677,5101
ATP2B4,6667,21150,20094,6929,6378
GLG1,5698,16116,22042,9619,6079
FKBP9,16148,11324,19745,9322,6079
CKAP4,13453,13056,18205,5600,3687
AMFR,3204,15139,26384,10068,6424
PSMD2,11307,9926,15511,5244,4954
MAN2B1,4204,13921,24667,8249,3392
MTCH1,6726,10890,20316,7613,7436
RPL35,5343,12043,18518,7472,5137
TNS1,3327,19873,24715,9623,9283
SRPRA,12298,15037,22906,8212,6949
CHD3,5647,10135,13203,4107,3561
PGK1,8862,9862,11148,5213,3346
TPI1,5711,11645,13702,5928,3453
MPRIP,7778,15888,19919,8331,5616
PTGR1,622,17410,33932,7501,7639
EIF4EBP2,4404,18483,24003,8672,4683
TMBIM1,2224,13919,23312,8754,6816
GNB4,7150,6919,12670,4330,3246
IGFBP2,570,9240,38207,12310,20332
PSAT1,1580,16244,23622,9706,6100
RPS24,5935,6819,18335,5488,2692
SIRPA,3934,12300,21880,6667,4992
GARS1,3319,15525,22269,8699,6767
WNK1,3865,16791,19962,6327,4558
HIF1A,4068,13616,17266,7151,4619
MAP7D1,6264,14667,20290,6618,5238
PODN,2209,10417,22586,11848,5124
LGMN,4824,12132,28341,4460,2036
RPL26,5058,7956,15957,6190,4199
TTC3,6354,11212,14804,4284,3050
TXNDC5,7700,11304,18262,8136,5361
B2M,3132,10778,18397,4483,2040
BNIP3,11172,4368,5753,3612,1491
ATP5F1A,5301,14651,19766,6494,5363
EEF1D,6005,12002,21759,9519,6216
TAGLN,2345,14693,20305,8785,9687
UBA1,6097,14072,19839,7343,5920
MYADM,6632,12133,17961,6219,7414
CLPTM1L,15908,6061,11814,3658,4907
GANAB,3975,13169,20974,8892,4953
RPL11,6001,12574,18382,7738,5545
RPL27A,3851,12971,20948,8922,6319
VAT1,3938,13609,25288,9799,8412
LRRFIP1,2453,17125,20323,6165,5573
CAPRIN1,3323,14617,19033,7005,4085
S100A11,6789,14457,23808,7839,7373
TRIM28,5357,10313,15489,4892,3871
FADS2,3013,12150,16882,4676,7246
PLD3,8224,10370,25548,6515,4051
ACTR3,3644,15508,20111,6059,4284
RPL28,6351,10251,17856,6757,5362
DDR2,2826,17241,21495,8919,5781
RPS17,2872,8819,16615,7607,5042
ARHGEF2,2126,17028,26432,8388,6711
DAB2,2304,19070,30149,9483,6769
LAMB2,2449,13844,21501,9958,6845
SEL1L,4905,14816,20134,7814,4883
CD9,2390,13086,23276,8580,7789
MATR3,4178,13597,17547,6357,3809
PALLD,4521,16188,17253,6359,4953
RPLP2,3957,10947,15775,6835,4972
WASF2,3799,15666,22288,8619,7419
SREBF2,5418,11132,18800,4599,11024
UGDH,1803,19424,17457,6444,6270
FNDC1,16183,11970,22320,11828,4050
H3-3B,5617,12771,17864,6408,6174
CAP1,4080,13602,20443,7277,6063
LHFPL2,1283,14545,22623,7779,5503
LSP1,3161,17202,21353,7847,6000
WIPF1,4587,12370,21026,7626,5621
ABR,4263,17007,19134,6770,4730
TMED10,6802,10882,16988,6447,4574
MYO1B,2594,14406,18664,6697,4392
TSC22D3,1733,11249,25856,12298,9742
MYO9B,3913,13720,18216,6809,4872
ANXA11,3572,13741,22506,6893,6814
PRPF8,6102,13916,17833,5848,4309
ARHGDIA,5681,13305,21690,6508,5676
RPL29,3973,13037,21394,8767,5532
ESYT1,4628,17329,23932,7349,6363
ARCN1,5130,11106,15156,5785,4514
OAZ1,6699,10816,19347,5743,6342
MBNL1,3878,14996,22941,8109,8035
RPL30,7845,8835,13741,6566,4253
HNRNPL,6638,11566,16514,5343,4356
HNRNPA3,5793,12762,16369,4931,3152
IGF2R,13145,10835,14283,4580,2713
FAM120A,4779,13793,16122,5496,4427
NCKAP1,4020,12647,19271,6590,4783
PPIB,7386,10170,17143,5652,3911
LRRC59,6937,13116,13743,4644,3374
LOC100683543,1904,11086,25832,6337,3494
EIF4H,6440,10999,17794,6365,5290
ARL2BP,11115,10100,16329,5531,4175
HNRNPUL1,8014,10803,17397,5311,4434
SET,5732,11377,14314,4485,3395
IGFBP7,6186,11564,21793,9100,9341
AHCYL1,6196,10174,16086,5626,4455
NID1,10088,7491,16837,9683,3928
CYP1B1,415,10713,16544,9745,7715
NCOR2,3114,12105,16685,5923,4864
RPL35A,3808,7282,12174,5514,3888
C1S,1725,4145,9228,6958,430
RHOA,3044,14276,21014,7360,6541
RABAC1,7688,10234,17916,7065,7256
ARF4,3561,10526,15064,6090,4174
NDFIP1,2972,14094,22165,6254,4822
SLC44A1,2303,11727,21447,8210,5054
HNRNPUL2,3798,11062,16108,5210,3835
CNN3,11780,8943,13919,5587,4459
FBLN1,4073,4777,14174,7457,7676
MAP1B,1391,21893,21830,6106,5641
SCPEP1,3663,11340,23528,7419,4388
C4H1orf198,3037,14209,21927,9181,6901
WLS,5546,7106,14551,6065,6076
LTBP4,7908,11907,24346,11283,6201
MYO10,11079,13956,14918,3872,3333
ITGA11,15991,5916,14436,8973,6948
SERINC1,5053,9116,16551,6009,4984
SCARF2,6944,14219,23858,8328,4107
RCN1,6611,12832,18984,8361,4868
EIF5A,7659,13725,18046,5709,5026
HNRNPH1,3850,10858,16781,4987,3064
SPTBN1,6235,15161,20102,8164,6260
LOXL1,3059,14932,24576,8880,8659
TM9SF3,4727,10197,15622,5534,3364
PLBD2,5976,9843,17996,7020,5027
CLIC1,3324,13834,22641,5986,5963
LOC607300,6000,13617,20775,7657,7440
NUMA1,3464,12856,19012,6499,5799
CALM2,1962,8583,14695,4813,4463
TIMP3,3324,8064,16238,15241,13199
YWHAE,5103,10157,13998,4653,3932
TXNRD1,2066,11331,18452,5776,4910
LAPTM4A,5062,10283,16075,6985,5319
YWHAZ,4294,10953,17524,5327,4951
CPD,6218,12956,16855,5335,4349
